Method;Endpoint;Description;Auth;Roles Allowed
POST;/users/signup;Register new user;No;
POST;/users/login;Login;No;
POST;/users/logout;Logout;No;
GET;/users/admin;Get all admins;No;
GET;/parks;Get all parks;No;
GET;/attractions;Get all attractions;No;
GET;/attractions/:id;Get attraction by id;No;
POST;/attractions;Create new attraction;Yes;Admin, staff
PUT;/attractions/:id;Update attraction;Yes;Admin
PUT;/attractions/:id/status;Update attraction status;Yes;Admin, staff
POST;/attractions/:id/spareparts/:partId;Add spare part to attraction;Yes;Admin
DELETE;/attractions/:id/spareparts/:partId;Remove spare part from attraction;Yes;Admin
GET;/spareparts;Get all spare parts;No;
GET;/spareparts/:id;Get spare part by id;No;
